Date;Open;High;Low;Close;Volume
2024.04.19 16:00;2381.42;2399.68;2373.07;2399.66;19740
2024.04.19 20:00;2399.58;2401.96;2386.62;2390.36;11646
2024.04.22 00:00;2384;2388.38;2381.09;2382.13;7179
2024.04.22 04:00;2382.09;2384.24;2361.78;2369.63;14288
2024.04.22 08:00;2369.72;2370.44;2351.53;2359.6;15876
2024.04.22 12:00;2359.55;2363.63;2333.19;2336.79;15102
2024.04.22 16:00;2336.81;2343.77;2328.98;2329.82;19490
2024.04.22 20:00;2329.82;2334.77;2324.47;2325.64;8657
2024.04.23 00:00;2329.92;2333.84;2326.84;2332.61;5545
2024.04.23 04:00;2332.54;2334.34;2295.46;2305.47;15519
2024.04.23 08:00;2305.47;2314.58;2298.89;2303.11;15485
2024.04.23 12:00;2303.23;2313.5;2291.39;2311.75;14736
2024.04.23 16:00;2311.75;2332.05;2309.57;2330.3;18763
2024.04.23 20:00;2330.29;2331.31;2321.25;2321.51;8847
2024.04.24 00:00;2321.91;2324.23;2320.69;2320.87;3501
2024.04.24 04:00;2320.87;2330.08;2315.64;2326.59;12274
2024.04.24 08:00;2326.65;2331.3;2316.1;2319.14;12843
2024.04.24 12:00;2319.14;2323.46;2311.78;2323.15;12827
2024.04.24 16:00;2323.25;2337.19;2316.25;2325.07;19681
2024.04.24 20:00;2325.07;2330.49;2313.67;2315.04;10157
2024.04.25 00:00;2317.29;2319.37;2315.38;2319.14;3693
2024.04.25 04:00;2319.1;2322.05;2305.05;2315.27;10237
2024.04.25 08:00;2315.27;2328.87;2314.47;2326.9;11813
2024.04.25 12:00;2326.89;2334.72;2323.12;2330.75;12186
2024.04.25 16:00;2330.85;2344.8;2312.77;2328.72;21053
2024.04.25 20:00;2328.77;2336.4;2326.25;2331.24;9553
2024.04.26 00:00;2331.84;2333.28;2328.7;2329.87;3247
2024.04.26 04:00;2329.84;2338.05;2326.17;2335.82;9775
2024.04.26 08:00;2335.77;2350.08;2333.88;2347;13157
2024.04.26 12:00;2347;2352.5;2340.63;2344.75;12019
2024.04.26 16:00;2344.91;2350.35;2328.72;2333.6;18869
2024.04.26 20:00;2333.57;2341.36;2332.72;2337.37;7896
2024.04.29 00:00;2333.5;2336.78;2330.67;2331.97;4815
